Date,News_Based_Policy_Uncert_Index
2017-02-01,178
2017-03-01,155
2017-04-01,158
2017-05-01,130
2017-06-01,121
2017-07-01,141
2017-08-01,138
2017-09-01,117
2017-10-01,126
2017-11-01,111
2017-12-01,140
2018-01-01,161
2018-02-01,115
2018-03-01,187
2018-04-01,139
2018-05-01,162
2018-06-01,134
2018-07-01,176
2018-08-01,115
2018-09-01,121
2018-10-01,136
2018-11-01,165
2018-12-01,227
2019-01-01,284
2019-02-01,124
2019-03-01,181
2019-04-01,110
2019-05-01,161
2019-06-01,208
2019-07-01,208
2019-08-01,283
2019-09-01,187
2019-10-01,160
2019-11-01,170
2019-12-01,191
2020-01-01,165
2020-02-01,216
2020-03-01,426
2020-04-01,401
2020-05-01,504
2020-06-01,300
2020-07-01,428
2020-08-01,263
2020-09-01,253
2020-10-01,306
2020-11-01,328
2020-12-01,327
2021-01-01,261
2021-02-01,188
2021-03-01,167
2021-04-01,141
2021-05-01,172
2021-06-01,149
2021-07-01,182
2021-08-01,157
2021-09-01,171
2021-10-01,137
2021-11-01,176
2021-12-01,201
2022-01-01,155
2022-02-01,140
2022-03-01,229
2022-04-01,169
2022-05-01,190
2022-06-01,153
2022-07-01,223
2022-08-01,183
2022-09-01,202
2022-10-01,207
2022-11-01,210
2022-12-01,150
2023-01-01,161
2023-02-01,153
2023-03-01,200
2023-04-01,165
2023-05-01,205
